Year,Employee_id,Age,Gender,Department,Job_level,Salary,Total years of service,Years of service within company,Overtime Worked,Stock Option,Number of previous jobs,Marital Status,Years Under Current Manager,Job Satisfaction,Performance Rating, Upskilling Opportunities,Relationship with Manager,Churned
2018,1001,32,Female,Sales,Assistant,78000,10,3,Yes,No,7,No,4,5,4,8,1,No
2018,1002,25,Male,Finance,Junior,49000,2,1,No,Yes,6,No,3,1,1,10,1,Yes
2018,1003,33,Female,Marketing,Senior,91000,13,4,Yes,No,9,No,3,2,3,11,1,Yes
2018,1004,24,Female,Sales,Junior,49000,2,3,No,No,3,No,3,3,4,14,1,No
2018,1005,36,Female,Marketing,Senior,88000,12,2,Yes,No,4,Yes,5,5,5,19,5,No
2018,1006,26,Female,Finance,Junior,52000,3,5,Yes,No,9,No,1,3,4,4,4,No
2018,1007,24,Female,Sales,Junior,55000,4,2,Yes,Yes,5,No,5,3,5,2,1,No
2018,1008,22,Female,Finance,Junior,55000,4,4,Yes,No,8,No,5,3,5,17,2,No
2018,1009,27,Male,Sales,Junior,58000,5,1,Yes,Yes,6,Yes,1,4,4,9,1,No
2018,1010,23,Male,Sales,Junior,49000,2,5,No,No,9,Yes,3,3,5,11,4,No
2018,1011,23,Female,Sales,Junior,55000,4,4,No,No,2,No,1,1,4,14,1,No
2018,1012,35,Male,Finance,Senior,91000,13,3,No,No,6,No,5,2,1,3,2,Yes
2018,1013,28,Female,Developers,Assistant,69000,7,5,No,No,9,Yes,2,3,4,14,5,No
2018,1014,23,Female,Sales,Junior,52000,3,5,No,Yes,1,Yes,5,2,3,18,3,No
2018,1015,22,Female,Finance,Junior,52000,3,2,Yes,No,4,No,5,1,2,11,4,No
2018,1016,29,Male,Marketing,Assistant,72000,8,3,No,Yes,8,Yes,2,1,4,2,4,No
2018,1017,35,Male,Finance,Senior,97000,15,2,Yes,No,5,Yes,5,1,4,17,1,No
2018,1018,29,Female,Sales,Assistant,69000,7,2,Yes,No,2,No,1,3,4,8,4,Yes
2018,1019,23,Male,Developers,Junior,52000,3,3,No,No,2,Yes,4,5,2,11,1,No
2018,1020,28,Female,Marketing,Assistant,75000,9,5,Yes,Yes,1,Yes,1,5,2,6,1,No
2018,1021,32,Male,Developers,Assistant,66000,6,3,No,No,10,No,1,5,5,8,2,No
2018,1022,31,Male,Marketing,Assistant,72000,8,3,Yes,Yes,3,Yes,4,3,1,13,3,Yes
2018,1023,29,Male,Finance,Junior,58000,5,2,No,No,4,Yes,3,2,4,19,4,No
2018,1024,34,Male,Developers,Senior,88000,12,1,No,Yes,6,No,1,2,1,1,3,No
2018,1025,26,Male,Sales,Junior,58000,5,2,No,No,7,No,5,3,2,2,1,No
2018,1026,37,Female,Developers,Senior,91000,13,1,Yes,Yes,8,No,1,4,3,13,3,No
2018,1027,36,Male,Marketing,Senior,91000,13,4,No,Yes,4,Yes,3,5,3,9,1,No
2018,1028,23,Female,Marketing,Junior,52000,3,1,Yes,Yes,3,No,2,5,4,2,2,No
2018,1029,25,Male,Finance,Junior,55000,4,2,No,Yes,3,Yes,2,2,2,11,4,Yes
2018,1030,31,Male,Sales,Assistant,69000,7,5,No,Yes,8,No,2,1,3,2,1,Yes
2018,1031,37,Male,Developers,Senior,91000,13,2,No,No,7,Yes,2,2,4,3,4,No
2018,1032,27,Female,Developers,Junior,55000,4,1,Yes,No,10,No,2,2,1,7,5,No
2018,1033,35,Female,Finance,Senior,85000,11,3,Yes,No,4,Yes,3,2,3,8,4,No
2018,1034,30,Male,Marketing,Assistant,69000,7,4,Yes,No,2,Yes,1,3,2,2,1,No
2018,1035,34,Female,Marketing,Senior,88000,12,2,Yes,No,7,No,3,5,4,9,3,No
2018,1036,31,Female,Marketing,Assistant,78000,10,1,Yes,Yes,6,No,3,5,3,7,4,No
2018,1037,33,Female,Sales,Senior,94000,14,2,Yes,No,5,Yes,2,1,2,6,1,Yes
2018,1038,35,Female,Sales,Senior,91000,13,3,Yes,No,7,Yes,1,3,5,19,5,No
2018,1039,32,Female,Developers,Assistant,75000,9,5,No,Yes,6,No,5,5,3,6,5,No
2018,1040,30,Female,Sales,Assistant,75000,9,3,Yes,Yes,2,No,1,5,1,6,2,Yes
2018,1041,24,Male,Developers,Junior,55000,4,4,No,No,10,Yes,3,3,5,17,5,No
2018,1042,26,Female,Finance,Junior,46000,1,5,No,Yes,3,Yes,4,1,3,13,3,No
2018,1043,28,Male,Developers,Assistant,69000,7,2,No,No,1,Yes,5,2,5,8,3,No
2018,1044,31,Female,Developers,Assistant,66000,6,2,Yes,Yes,2,Yes,4,1,5,11,3,No
2018,1045,32,Female,Developers,Assistant,75000,9,3,Yes,No,9,No,1,4,1,8,2,No
2018,1046,27,Male,Marketing,Junior,58000,5,1,Yes,No,5,Yes,1,5,5,14,1,No
2018,1047,34,Female,Finance,Assistant,78000,10,1,Yes,No,3,Yes,4,1,4,3,1,No
2018,1048,34,Male,Sales,Senior,85000,11,3,Yes,No,7,No,5,5,2,2,5,No
2018,1049,34,Female,Sales,Senior,85000,11,4,Yes,No,6,No,5,5,4,18,1,No
2018,1050,28,Male,Sales,Junior,58000,5,2,Yes,No,6,Yes,4,5,2,15,1,No
2018,1051,25,Male,Finance,Junior,46000,1,3,No,No,7,No,5,3,5,17,1,No
2018,1052,23,Female,Sales,Junior,58000,5,4,Yes,No,7,No,4,2,5,15,3,No
2018,1053,27,Female,Sales,Junior,55000,4,4,No,No,8,No,2,1,1,9,1,Yes
2018,1054,29,Male,Sales,Assistant,78000,10,4,Yes,No,5,Yes,2,4,1,17,1,Yes
2018,1055,27,Male,Finance,Junior,52000,3,5,Yes,No,7,No,3,5,2,2,5,No
2018,1056,29,Female,Sales,Assistant,75000,9,4,Yes,No,4,Yes,3,1,1,16,4,No
2018,1057,34,Female,Developers,Senior,85000,11,2,No,No,9,Yes,5,5,1,11,3,Yes
2018,1058,31,Male,Developers,Assistant,69000,7,5,No,No,5,No,3,5,1,14,4,No
2018,1059,29,Female,Marketing,Assistant,72000,8,3,No,Yes,4,No,1,3,4,4,1,Yes
2018,1060,34,Female,Developers,Senior,97000,15,1,No,Yes,4,No,4,1,5,19,3,No
2018,1061,27,Female,Sales,Junior,46000,1,3,Yes,Yes,2,No,1,3,1,18,2,No
2018,1062,30,Female,Developers,Assistant,75000,9,3,No,No,4,No,3,3,1,5,2,No
2018,1063,23,Male,Developers,Junior,52000,3,2,Yes,Yes,6,Yes,3,5,4,8,4,No
2018,1064,24,Female,Finance,Junior,52000,3,3,Yes,No,1,No,4,3,1,5,4,No
2018,1065,36,Male,Developers,Senior,91000,13,5,Yes,No,1,No,4,3,3,11,1,No
2018,1066,22,Female,Finance,Junior,46000,1,3,Yes,Yes,5,Yes,3,2,2,11,4,No
2018,1067,25,Male,Marketing,Junior,46000,1,2,No,Yes,10,No,2,5,3,5,4,No
2018,1068,35,Male,Developers,Assistant,78000,10,2,No,Yes,7,No,4,1,5,2,3,No
2018,1069,32,Female,Marketing,Assistant,75000,9,2,Yes,Yes,9,Yes,2,4,5,2,2,No
2018,1070,32,Female,Marketing,Junior,58000,5,1,No,No,5,Yes,4,3,3,10,1,No
2018,1071,25,Female,Sales,Junior,52000,3,5,No,No,3,Yes,1,3,4,17,5,No
2018,1072,32,Female,Marketing,Junior,58000,5,3,No,Yes,5,Yes,3,3,1,16,2,No
2018,1073,25,Male,Developers,Junior,49000,2,2,No,No,6,Yes,2,1,4,9,4,No
2018,1074,33,Male,Marketing,Senior,85000,11,2,No,No,2,No,3,5,4,20,5,No
2018,1075,24,Male,Sales,Junior,46000,1,2,No,No,3,Yes,5,4,1,12,4,No
2018,1076,37,Female,Sales,Senior,88000,12,2,Yes,No,9,Yes,5,4,4,2,1,No
2018,1077,26,Male,Sales,Junior,55000,4,1,Yes,No,3,Yes,3,3,2,9,4,No
2018,1078,37,Female,Marketing,Senior,94000,14,5,No,No,10,Yes,3,1,5,18,5,No
2018,1079,25,Female,Sales,Junior,46000,1,1,Yes,No,6,Yes,2,2,1,19,4,No
2018,1080,28,Female,Marketing,Assistant,75000,9,2,Yes,No,1,Yes,2,2,4,6,4,No
2018,1081,29,Male,Finance,Junior,58000,5,1,Yes,No,9,Yes,3,3,1,3,2,Yes
2018,1082,33,Female,Marketing,Senior,88000,12,5,No,No,6,Yes,5,5,3,7,3,No
2018,1083,31,Male,Developers,Assistant,78000,10,4,No,Yes,5,Yes,5,3,2,13,3,No
2018,1084,30,Male,Marketing,Junior,58000,5,5,No,Yes,1,Yes,5,1,1,5,3,No
2018,1085,33,Female,Developers,Senior,88000,12,5,No,No,10,No,5,5,3,19,2,No
2018,1086,35,Male,Finance,Senior,91000,13,4,No,Yes,5,No,4,3,5,8,1,No
2018,1087,29,Female,Finance,Junior,58000,5,2,No,No,3,Yes,3,2,3,2,1,Yes
2018,1088,35,Female,Developers,Assistant,78000,10,5,Yes,Yes,10,No,5,5,1,15,2,No
2018,1089,29,Female,Developers,Junior,58000,5,5,No,No,5,Yes,4,2,1,1,5,Yes
2018,1090,36,Male,Marketing,Assistant,78000,10,2,Yes,No,10,Yes,3,4,1,6,1,No
2018,1091,24,Male,Finance,Junior,58000,5,4,No,Yes,10,No,1,4,1,3,1,No
2018,1092,37,Female,Finance,Senior,85000,11,2,Yes,No,6,Yes,1,4,2,11,1,No
2018,1093,23,Male,Finance,Junior,55000,4,4,Yes,No,7,Yes,1,4,5,17,2,No
2018,1094,30,Female,Finance,Assistant,75000,9,2,Yes,No,7,No,2,4,4,4,1,No
2018,1095,32,Male,Finance,Assistant,69000,7,4,No,No,5,No,2,5,1,5,5,No
2018,1096,27,Male,Marketing,Junior,46000,1,2,No,No,1,Yes,3,5,1,5,1,No
2018,1097,27,Female,Finance,Junior,52000,3,4,Yes,No,4,Yes,2,2,3,5,4,No
2018,1098,37,Female,Marketing,Senior,91000,13,2,No,No,1,Yes,4,5,2,14,2,No
2018,1099,32,Female,Sales,Assistant,75000,9,4,No,Yes,5,Yes,1,5,3,20,5,No
2018,1100,22,Female,Developers,Junior,55000,4,1,Yes,No,10,Yes,2,2,1,19,5,No
2018,1101,22,Female,Sales,Junior,55000,4,1,No,No,10,No,1,1,5,8,1,No
2018,1102,33,Male,Marketing,Assistant,78000,10,4,No,No,4,No,3,3,3,10,2,No
2018,1103,36,Male,Finance,Senior,88000,12,3,Yes,Yes,2,No,4,1,2,13,5,No
2018,1104,22,Female,Sales,Junior,52000,3,1,Yes,Yes,2,Yes,5,5,3,14,4,No
2018,1105,34,Male,Finance,Senior,85000,11,4,No,No,1,No,3,5,5,18,3,No
2018,1106,27,Male,Developers,Junior,49000,2,4,Yes,No,3,No,2,3,2,18,1,No
2018,1107,37,Male,Marketing,Senior,91000,13,4,No,No,5,Yes,2,4,5,11,1,No
2018,1108,32,Female,Sales,Assistant,72000,8,4,Yes,No,6,Yes,1,3,3,19,5,No
2018,1109,24,Female,Developers,Junior,55000,4,3,No,No,3,Yes,2,4,3,4,1,No
2018,1110,23,Male,Marketing,Junior,52000,3,2,Yes,No,8,No,3,3,4,13,2,No
2018,1111,26,Female,Finance,Junior,55000,4,5,No,No,4,No,1,4,4,5,2,No
2018,1112,33,Male,Finance,Senior,94000,14,1,No,No,2,No,3,2,5,8,5,No
2018,1113,34,Female,Marketing,Senior,91000,13,5,Yes,No,10,Yes,5,4,2,4,4,No
2018,1114,28,Female,Finance,Junior,58000,5,4,Yes,Yes,3,No,5,3,1,4,2,Yes
2018,1115,24,Female,Finance,Junior,52000,3,1,Yes,No,3,Yes,5,5,1,8,2,No
2018,1116,36,Male,Marketing,Senior,85000,11,4,Yes,No,7,Yes,2,2,4,12,4,No
2018,1117,28,Female,Marketing,Assistant,72000,8,3,Yes,No,6,No,2,4,5,17,3,No
2018,1118,27,Male,Developers,Junior,46000,1,5,No,No,5,Yes,1,3,3,1,1,No
2018,1119,26,Female,Sales,Junior,49000,2,3,No,No,8,Yes,3,4,5,20,1,No
2018,1120,33,Male,Finance,Senior,88000,12,2,No,No,4,No,4,3,3,10,3,No
2018,1121,22,Male,Developers,Junior,55000,4,1,No,No,7,Yes,5,3,1,6,1,No
2018,1122,32,Female,Marketing,Assistant,75000,9,1,No,Yes,1,No,2,5,1,20,5,Yes
2018,1123,32,Male,Sales,Assistant,69000,7,1,Yes,Yes,1,No,2,3,3,8,3,No
2018,1124,30,Male,Marketing,Assistant,78000,10,5,No,Yes,4,No,3,5,3,19,3,No
2018,1125,26,Female,Marketing,Junior,46000,1,3,Yes,No,6,No,5,3,1,5,3,No
2018,1126,32,Female,Finance,Assistant,75000,9,5,Yes,Yes,10,Yes,2,3,5,2,5,No
2018,1127,26,Male,Finance,Junior,58000,5,1,No,Yes,4,Yes,2,3,4,15,2,No
2018,1128,34,Male,Developers,Senior,91000,13,4,Yes,No,2,Yes,3,3,5,18,1,No
2018,1129,22,Male,Marketing,Junior,55000,4,1,No,No,1,No,4,4,3,17,1,No
2018,1130,26,Female,Sales,Junior,55000,4,4,No,No,8,No,4,4,1,6,5,No
2018,1131,28,Female,Sales,Junior,58000,5,3,Yes,Yes,6,No,3,1,5,1,2,Yes
2018,1132,37,Female,Sales,Senior,85000,11,1,No,No,10,No,3,4,5,8,1,No
2018,1133,27,Female,Finance,Junior,49000,2,2,Yes,No,2,No,2,1,4,18,5,No
2018,1134,28,Female,Marketing,Assistant,66000,6,2,Yes,Yes,8,No,1,4,4,6,4,No
2018,1135,33,Male,Marketing,Senior,97000,15,1,Yes,No,1,Yes,1,4,2,19,2,No
2018,1136,31,Female,Developers,Assistant,78000,10,1,Yes,No,10,No,2,2,1,4,1,Yes
2018,1137,32,Male,Finance,Assistant,66000,6,2,Yes,No,5,No,1,1,1,12,2,Yes
2018,1138,27,Male,Finance,Junior,46000,1,4,Yes,No,9,Yes,3,5,3,20,1,No
2018,1139,26,Female,Finance,Junior,55000,4,5,No,Yes,10,No,5,2,3,19,3,No
2018,1140,29,Male,Sales,Assistant,75000,9,1,Yes,No,7,Yes,3,3,3,11,2,No
2018,1141,25,Male,Finance,Junior,52000,3,2,No,No,10,No,3,1,4,3,4,No
2018,1142,34,Female,Finance,Senior,91000,13,3,Yes,No,1,Yes,2,1,4,15,4,No
2018,1143,29,Male,Marketing,Assistant,75000,9,3,Yes,No,7,Yes,4,1,4,16,2,No
2018,1144,35,Male,Developers,Senior,94000,14,4,Yes,No,3,Yes,4,4,5,2,5,No
2018,1145,24,Female,Finance,Junior,58000,5,5,Yes,Yes,3,Yes,5,4,2,19,1,No
2018,1146,32,Female,Finance,Assistant,69000,7,1,Yes,Yes,7,No,1,1,5,13,2,No
2018,1147,36,Male,Finance,Senior,88000,12,1,No,No,2,No,3,1,5,18,3,No
2018,1148,30,Female,Developers,Assistant,78000,10,4,Yes,Yes,5,Yes,2,4,1,14,4,No
2018,1149,36,Female,Marketing,Assistant,78000,10,1,Yes,No,6,Yes,2,2,1,6,1,Yes
2018,1150,28,Female,Sales,Assistant,75000,9,4,Yes,Yes,4,Yes,3,5,3,6,2,No
2018,1151,25,Male,Developers,Junior,55000,4,2,Yes,No,8,No,1,1,2,8,3,No
2018,1152,37,Male,Developers,Senior,91000,13,2,Yes,No,8,Yes,1,1,5,13,3,No
2018,1153,33,Female,Developers,Senior,88000,12,1,Yes,No,2,Yes,5,1,4,11,4,No
2018,1154,25,Male,Sales,Junior,55000,4,5,No,No,7,No,1,3,3,16,1,No
2018,1155,28,Male,Marketing,Assistant,66000,6,1,No,No,9,Yes,4,5,2,9,3,No
2018,1156,32,Female,Finance,Assistant,69000,7,5,No,No,10,No,1,2,1,2,3,No
2018,1157,24,Female,Developers,Junior,58000,5,1,No,No,3,Yes,5,4,1,6,2,No
2018,1158,26,Male,Sales,Junior,55000,4,5,No,No,6,Yes,4,3,1,1,4,Yes
2018,1159,29,Female,Marketing,Assistant,69000,7,2,No,No,1,No,4,3,4,19,5,No
2018,1160,30,Male,Sales,Assistant,75000,9,5,Yes,Yes,4,No,5,2,2,14,4,No
2018,1161,23,Male,Sales,Junior,58000,5,5,Yes,Yes,1,Yes,4,1,5,4,4,No
2018,1162,34,Male,Sales,Senior,88000,12,4,Yes,No,2,No,4,2,5,17,1,No
2018,1163,33,Female,Sales,Assistant,78000,10,1,Yes,No,3,No,3,5,2,3,2,No
2018,1164,31,Male,Finance,Assistant,72000,8,2,Yes,No,7,Yes,2,2,4,8,4,No
2018,1165,35,Male,Developers,Assistant,78000,10,4,No,No,4,No,1,5,2,19,4,No
2018,1166,34,Male,Marketing,Senior,91000,13,3,Yes,No,10,Yes,5,4,4,7,3,No
2018,1167,24,Male,Finance,Junior,46000,1,1,No,No,8,Yes,5,3,4,2,4,No
2018,1168,27,Female,Marketing,Junior,52000,3,1,No,No,2,Yes,4,2,5,9,3,No
2018,1169,30,Female,Sales,Assistant,78000,10,3,Yes,Yes,5,Yes,2,5,1,15,1,No
2018,1170,28,Male,Sales,Assistant,78000,10,2,Yes,Yes,1,No,3,3,2,12,3,No
2018,1171,30,Male,Marketing,Assistant,78000,10,3,Yes,No,7,No,4,5,1,8,2,No
2018,1172,34,Male,Finance,Senior,91000,13,2,No,No,3,No,1,3,2,9,4,No
2018,1173,34,Female,Marketing,Senior,97000,15,3,Yes,No,6,Yes,3,3,4,18,3,No
2018,1174,30,Male,Finance,Assistant,78000,10,1,No,No,3,No,2,2,1,16,1,No
2018,1175,31,Female,Marketing,Assistant,72000,8,5,Yes,Yes,10,No,5,3,1,8,5,No
2018,1176,32,Male,Finance,Assistant,69000,7,2,Yes,No,7,No,2,5,5,15,3,No
2018,1177,35,Female,Finance,Senior,94000,14,4,Yes,No,3,Yes,3,5,1,11,2,No
2018,1178,32,Female,Marketing,Assistant,72000,8,2,No,Yes,6,No,4,2,3,14,4,No
2018,1179,27,Male,Sales,Junior,49000,2,3,Yes,No,3,No,3,5,5,17,5,No
2018,1180,26,Female,Finance,Junior,55000,4,2,No,No,8,Yes,5,5,3,20,1,No
2018,1181,23,Female,Developers,Junior,49000,2,4,Yes,No,2,No,5,1,3,18,4,Yes
2018,1182,34,Male,Marketing,Senior,97000,15,1,Yes,No,7,No,3,4,3,5,2,No
2018,1183,30,Female,Finance,Assistant,75000,9,3,No,No,8,No,5,4,3,20,4,No
2018,1184,30,Female,Marketing,Assistant,75000,9,4,No,No,2,No,1,1,1,14,5,No
2018,1185,36,Female,Finance,Senior,97000,15,5,No,No,2,Yes,5,4,5,9,4,No
2018,1186,28,Female,Sales,Assistant,78000,10,5,No,Yes,5,No,1,2,1,1,2,Yes
